"method"	"nparticles"	"variance"	"cost"	"inefficiency"	"asymptoticvar"
"csmc1"	64	13.5166178720306	1.45092462778091	19.6115937548329	865.063543809959
"csmc1"	128	8.62413736200163	2.84339124917984	24.5217967068403	1103.88958233621
"csmc1"	256	4.110644561073	5.66443541526794	23.2844806313204	1052.32500763469
"csmc1"	512	3.57100642170993	11.3638846063614	40.5805049048871	1828.35528791548
"csmc1"	1024	2.05003112741557	22.7463666605949	46.6307596898274	2099.23187447354
"csmc1"	2048	1.15180061853637	45.7526327848434	52.6979107412499	2358.88766676248
"csmc2"	64	18.4376061272296	5.74720316886902	105.964668360773	1180.00679214269
"csmc2"	128	8.48239756654871	11.4492891359329	97.11742230535	1085.74688851823
"csmc2"	256	6.88029128389939	22.9813942050934	158.11868624116	1761.35456867824
"csmc2"	512	5.03348864974811	45.9335184073448	231.205843546366	2577.14618867103
"csmc2"	1024	3.40653671292768	91.8384212303162	312.850953578389	3488.29359403794
"csmc2"	2048	2.06897993069261	184.536739013195	381.802809493761	4237.27089805847
"bpf"	64	NA	NA	NA	NA
"bpf"	128	NA	NA	NA	NA
"bpf"	256	NA	NA	NA	NA
"bpf"	512	NA	NA	NA	NA
"bpf"	1024	NA	NA	NA	NA
"bpf"	2048	NA	NA	NA	NA
"apf"	64	71.8793507454406	1.46359291315079	105.202108352907	4600.2784477082
"apf"	128	39.5196214176095	2.86769995450974	113.330416541521	5058.51154145402
"apf"	256	26.8571338727929	5.7313555765152	153.927783991047	6875.42627143498
"apf"	512	18.9765343814666	11.4774668979645	217.802545201368	9715.98560331089
"apf"	1024	13.3816317744913	23.0189266633987	308.030800453621	13702.7909370791
"apf"	2048	9.93124562589674	46.6459232831001	463.252121571203	20339.1910418365
